"","gene_name"
"1154","C130074G19Rik"
"1155","Mark1"
"1156","Rab3gap2"
"1157","Iars2"
"1158","Bpnt1"
"1159","Eprs"
"1160","Slc30a10"
"1161","Lyplal1"
"1162","Tgfb2"
"1163","Rrp15"
"1164","D1Pas1"
"1165","Spata17"
"1166","Gpatch2"
"1167","Esrrg"
"1168","Ush2a"
"1169","Kctd3"
"1170","Kcnk2"
"1171","Cenpf"
"1172","Ptpn14"
"1173","Smyd2"
"1174","Prox1"
"1175","Rps6kc1"
"1176","Angel2"
"1177","Vash2"
"1178","Flvcr1"
"1179","Spata45"
"1180","Tatdn3"
"1181","Nsl1"
"1182","Batf3"
"1183","Fam71a"
"1184","Atf3"
"1185","Nenf"
"1186","Pacc1"
"1187","Ppp2r5a"
"1188","Dtl"
"1189","Ints7"
"1190","Lpgat1"
"1191","Nek2"
"1192","Slc30a1"
"1193","Rd3"
"1194","Traf5"
"1195","Rcor3"
"1196","Kcnh1"
"1197","Hhat"
"1198","Sertad4"
"1199","Syt14"
"1200","Utp25"
"1201","Irf6"
"1202","A130010J15Rik"
"1203","Traf3ip3"
"1204","Lamb3"
"1205","Hsd11b1"
"1206","G0s2"
"1207","Camk1g"
"1208","Plxna2"
"1209","Cd34"
"1210","Cd46"
"1211","Cr1l"
"1212","Cr2"
"1213","Fam171a1"
"1214","Nmt2"
"1215","Rpp38"
"1216","Acbd7"
"1217","Olah"
"1218","Meig1"
"1219","Dclre1c"
"1220","Suv39h2"
"1221","Hspa14"
"1222","Gm45902"
"1223","Cdnf"
"1224","Fam107b"
"1225","Frmd4a"
"1226","Prpf18"
"1227","Bend7"
"1228","Sephs1"
"1229","Phyh"
"1230","Ucma"
"1231","Mcm10"
"1232","Optn"
"1233","Ccdc3"
"1234","Camk1d"
"1235","Cdc123"
"1236","Nudt5"
"1237","Gm13199"
"1238","Sec61a2"
"1239","Dhtkd1"
"1240","Upf2"
"1241","Proser2"
"1242","Echdc3"
"1243","AL845275.1"
"1244","Usp6nl"
"1245","Celf2"
"1246","Gata3"
"1247","4930412O13Rik"
"1248","9230102O04Rik"
"1249","Taf3"
"1250","Atp5c1"
"1251","Kin"
"1252","Itih2"
"1253","Itih5"
"1254","Sfmbt2"
"1255","Prkcq"
"1256","Pfkfb3"
"1257","Rbm17"
"1258","Gm17490"
"1259","Il2ra"
"1260","Il15ra"
"1261","Fbh1"
"1262","Ankrd16"
"1263","Itga8"
"1264","Mindy3"
"1265","Pter"
"1266","C1ql3"
